country,profile_type,months,cum_incidence_outcome_a,cum_incidence_outcome_b
Sweden,Traditional Software Development,12,0.18627450980392157,0.11764705882352941
Sweden,Traditional Software Development,24,0.22549019607843138,0.14705882352941177
Sweden,Traditional Software Development,36,0.30392156862745096,0.20588235294117646
Sweden,Traditional Software Development,60,0.47058823529411764,0.24509803921568626
Sweden,LCNC,12,0.1935483870967742,0.16129032258064516
Sweden,LCNC,24,0.22580645161290322,0.1935483870967742
Sweden,LCNC,36,0.2903225806451613,0.22580645161290322
Sweden,LCNC,60,0.5483870967741935,0.45161290322580644
Romania,Traditional Software Development,12,0.03571428571428571,0.023809523809523808
Romania,Traditional Software Development,24,0.05952380952380952,0.047619047619047616
Romania,Traditional Software Development,36,0.10714285714285714,0.05952380952380952
Romania,Traditional Software Development,60,0.23809523809523808,0.11904761904761904
Romania,LCNC,12,0.075,0.075
Romania,LCNC,24,0.125,0.125
Romania,LCNC,36,0.175,0.175
Romania,LCNC,60,0.25,0.2
